,score_sum
1215,100.0
728,8.0
9027,8.0
6571,96.0
379,0.0
85,10.0
7372,8.0
4060,99.0
342,0.0
3279,99.0
3655,2.0
1748,97.0
10059,98.0
4255,0.0
10029,0.0
8683,98.0
3071,11.0
3081,6.0
2841,0.0
384,0.0
2192,95.0
7766,4.0
6166,0.0
6274,4.0
6787,6.0
4770,95.0
9301,94.0
6319,18.0
6775,3.0
2890,0.0
3986,95.0
2224,10.0
1453,95.0
2260,0.0
2819,95.0
7052,0.0
7607,0.0
8271,94.0
8581,98.0
4692,95.0
4301,6.0
7628,0.0
5035,6.0
3941,0.0
7014,98.0
5419,0.0
10303,90.0
9242,91.0
6986,95.0
2055,0.0
4774,14.0
3987,9.0
5463,0.0
6575,99.0
3646,4.0
2768,10.0
9812,96.0
7630,0.0
5741,96.0
3681,98.0
10083,97.0
6248,30.0
2670,96.0
4372,0.0
3826,9.0
7479,98.0
4542,96.0
7810,3.0
3839,12.0
6933,96.0
2075,6.0
6717,95.0
1791,0.0
6002,0.0
8068,12.0
9907,0.0
8201,22.0
3291,95.0
2476,88.0
8412,100.0
6020,0.0
1424,8.0
4565,0.0
2402,0.0
9741,0.0
3073,0.0
4337,0.0
10745,0.0
635,8.0
10667,100.0
4390,0.0
5189,0.0
1422,0.0
4912,93.0
6960,0.0
10127,95.0
10687,0.0
10689,0.0
489,0.0
9601,97.0
7857,96.0
2271,0.0
8520,98.0
263,4.0
7402,2.0
5338,6.0
7264,14.0
10694,0.0
771,0.0
2002,5.0
4691,99.0
7357,14.0
8344,95.0
9243,97.0
9277,2.0
7203,4.0
10500,0.0
5359,0.0
3546,98.0
9790,98.0
3000,0.0
7279,0.0
3488,12.0
5475,0.0
3474,16.0
9678,100.0
6025,0.0
9461,97.0
7005,94.0
1427,24.0
6503,0.0
9730,0.0
2431,2.0
456,4.0
6067,95.0
1920,10.0
5218,0.0
8148,99.0
5987,4.0
9154,0.0
7302,0.0
10641,0.0
4929,98.0
3581,6.0
6785,6.0
2632,94.0
2250,95.0
8491,0.0
9332,0.0
5543,2.0
9342,100.0
3345,92.0
6718,98.0
7240,0.0
8911,95.0
8620,0.0
1247,0.0
1644,98.0
1210,4.0
8573,6.0
4750,82.0
7184,6.0
1353,2.0
2980,95.0
3460,95.0
10956,98.0
4351,0.0
8214,4.0
8724,4.0
8762,0.0
5843,96.0
9011,99.0
8361,97.0
5654,6.0
3671,96.0
2702,8.0
9515,12.0
9761,0.0
4235,8.0
8078,99.0
508,4.0
5957,98.0
2036,0.0
49,4.0
5233,0.0
5657,2.0
7515,0.0
5915,4.0
2891,93.0
4512,96.0
8925,93.0
4107,0.0
2185,4.0
8155,0.0
4848,0.0
237,98.0
179,0.0
7198,0.0
9142,10.0
38,94.0
6578,8.0
2134,0.0
3726,24.0
2579,0.0
65,0.0
6085,97.0
1666,0.0
313,99.0
5950,10.0
6189,16.0
9137,97.0
3402,97.0
1797,0.0
9012,95.0
1536,96.0
5941,8.0
10147,93.0
4251,0.0
4942,95.0
2946,99.0
6576,10.0
5179,12.0
4831,0.0
5977,0.0
8550,14.0
422,98.0
9926,2.0
7571,98.0
5545,4.0
667,0.0
10841,98.0
760,91.0
4706,99.0
2029,0.0
10914,0.0
5693,0.0
6676,4.0
3410,0.0
8630,0.0
509,0.0
8232,99.0
9638,0.0
8203,0.0
9472,94.0
10579,4.0
4411,2.0
1358,96.0
895,0.0
3735,10.0
7099,96.0
7284,0.0
6114,0.0
10285,90.0
8052,0.0
8104,10.0
10192,0.0
7995,97.0
2778,96.0
10366,95.0
10237,92.0
10451,98.0
1819,13.0
9185,0.0
6466,0.0
5006,100.0
6546,100.0
7290,0.0
4634,98.0
8117,97.0
3910,96.0
9200,0.0
7860,98.0
4138,0.0
1124,92.0
10064,98.0
9877,0.0
9659,0.0
6913,98.0
878,0.0
9953,4.0
1123,8.0
1374,94.0
10935,0.0
6683,95.0
3789,98.0
6908,2.0
2357,0.0
1469,0.0
9348,0.0
1944,14.0
4492,97.0
8853,13.0
143,0.0
3831,88.0
6596,0.0
5057,97.0
5622,0.0
8479,0.0
1282,12.0
1195,0.0
7068,99.0
3481,91.0
1285,8.0
9355,0.0
7403,97.0
380,0.0
8498,2.0
10544,0.0
6674,90.0
6083,0.0
2667,98.0
9618,96.0
3595,92.0
2434,99.0
1804,0.0
4730,96.0
3315,9.0
8102,95.0
738,0.0
174,4.0
8316,96.0
9958,100.0
10104,95.0
8957,0.0
5505,2.0
1824,97.0
6697,96.0
397,0.0
4171,98.0
2268,0.0
10081,98.0
3329,4.0
4110,0.0
10463,2.0
4168,5.0
5447,6.0
5256,0.0
2201,99.0
8744,0.0
1831,10.0
7662,2.0
10788,20.0
1281,100.0
8355,0.0
7035,0.0
10226,12.0
2818,96.0
4528,96.0
5268,0.0
10539,0.0
7750,0.0
8880,98.0
10462,98.0
5458,93.0
1257,0.0
9066,86.0
5731,99.0
6387,98.0
10380,4.0
9714,2.0
4484,12.0
4959,99.0
7180,90.0
2337,99.0
5521,5.0
10808,6.0
10052,93.0
8660,96.0
10480,99.0
6605,90.0
1166,97.0
10049,98.0
9787,94.0
4128,0.0
3538,99.0
5891,2.0
2760,2.0
2724,98.0
312,14.0
10279,97.0
4063,0.0
3888,8.0
2967,20.0
8803,4.0
627,97.0
2189,0.0
3025,0.0
3998,8.0
3505,97.0
4414,2.0
831,0.0
304,98.0
2395,0.0
10115,94.0
9082,97.0
5062,94.0
281,100.0
4367,0.0
8386,2.0
6442,94.0
4898,14.0
10273,99.0
3618,4.0
5004,99.0
9705,99.0
2279,2.0
5934,0.0
8419,0.0
1332,98.0
7898,7.0
3355,96.0
4726,0.0
10712,0.0
1456,99.0
6764,93.0
3483,98.0
254,4.0
6230,14.0
10299,3.0
317,94.0
2453,0.0
3844,97.0
4071,88.0
2898,98.0
2630,96.0
10697,0.0
1884,0.0
2162,0.0
10031,97.0
1065,10.0
5255,0.0
5044,4.0
3055,97.0
1425,16.0
9098,4.0
8770,8.0
3931,0.0
1189,81.0
9251,97.0
388,0.0
4024,8.0
7990,93.0
4644,0.0
8005,99.0
8555,0.0
2962,98.0
4388,0.0
10625,0.0
2940,93.0
8027,0.0
1417,0.0
103,98.0
8140,98.0
10507,4.0
5609,14.0
6069,96.0
393,0.0
6270,0.0
4872,0.0
10556,0.0
7071,0.0
6357,16.0
1594,7.0
6698,97.0
6266,11.0
10490,12.0
158,0.0
8065,10.0
2101,0.0
216,1.0
6665,0.0
9215,98.0
6632,0.0
9789,0.0
5772,10.0
6935,91.0
2293,0.0
9421,0.0
9597,92.0
9255,4.0
9236,4.0
10919,0.0
7398,0.0
6601,97.0
3420,0.0
747,97.0
6618,94.0
5989,12.0
6014,0.0
5676,0.0
8932,0.0
9650,97.0
10925,0.0
6821,98.0
7205,9.0
7231,2.0
394,0.0
3650,99.0
975,0.0
4479,6.0
1017,8.0
2608,0.0
10665,0.0
3710,13.0
2375,96.0
5366,93.0
2639,4.0
2427,94.0
5506,4.0
5412,2.0
8591,99.0
4007,16.0
8560,6.0
1768,0.0
6737,95.0
4534,97.0
3723,8.0
526,0.0
3820,0.0
2044,0.0
9783,87.0
1832,4.0
1687,0.0
600,96.0
3344,99.0
10369,98.0
3663,99.0
6146,93.0
4540,10.0
4399,2.0
8107,0.0
6802,98.0
4304,0.0
185,6.0
6692,97.0
9363,0.0
5441,97.0
10791,8.0
1733,89.0
4960,14.0
341,4.0
3991,96.0
7722,24.0
3032,11.0
863,4.0
10602,91.0
435,100.0
8805,98.0
6892,8.0
8221,0.0
2975,8.0
9291,100.0
6435,97.0
1638,6.0
4890,98.0
4808,0.0
6791,93.0
2146,0.0
1624,10.0
3471,18.0
5350,14.0
10584,7.0
10464,100.0
376,0.0
10371,93.0
356,4.0
4076,96.0
7705,4.0
6379,93.0
6491,0.0
7796,4.0
2054,15.0
7747,0.0
9018,96.0
6529,98.0
9337,97.0
2875,96.0
6291,93.0
9532,18.0
2706,100.0
8725,6.0
7680,0.0
987,0.0
8965,0.0
6335,92.0
2570,96.0
825,4.0
8758,94.0
6043,94.0
5087,4.0
9524,92.0
10086,10.0
1917,15.0
10774,8.0
9943,0.0
2936,0.0
8392,0.0
2666,12.0
5659,6.0
7017,2.0
1714,0.0
2076,2.0
4503,97.0
2442,0.0
3464,99.0
867,8.0
147,0.0
10054,6.0
7818,99.0
8374,12.0
2059,6.0
5651,2.0
10222,96.0
7731,100.0
1955,0.0
1116,95.0
9949,2.0
2406,0.0
3193,8.0
8624,0.0
8987,0.0
2797,94.0
10410,0.0
7343,0.0
4945,88.0
8241,99.0
6751,12.0
8350,0.0
6725,93.0
6580,13.0
1931,4.0
9927,100.0
8154,99.0
5832,97.0
7900,0.0
3239,0.0
864,0.0
3698,98.0
9548,11.0
10578,0.0
6497,0.0
9341,0.0
3424,0.0
2917,0.0
5093,97.0
6733,90.0
9706,8.0
1715,0.0
9883,0.0
5344,0.0
4576,20.0
8656,0.0
6694,0.0
6499,0.0
6198,22.0
6730,100.0
4266,16.0
6041,95.0
10658,0.0
6317,96.0
4676,0.0
8405,6.0
2499,0.0
4955,93.0
2519,10.0
5706,0.0
3955,0.0
7482,11.0
7066,0.0
1571,0.0
1223,4.0
544,99.0
643,0.0
7710,4.0
6591,6.0
1690,0.0
4617,0.0
6416,0.0
866,96.0
5831,93.0
10521,4.0
10301,8.0
787,99.0
2048,7.0
9960,6.0
4250,8.0
8895,8.0
9036,92.0
347,99.0
7952,95.0
8878,96.0
8745,4.0
4178,97.0
10320,2.0
10627,0.0
6045,95.0
9535,97.0
9920,6.0
2588,0.0
10103,99.0
5931,2.0
6338,4.0
5175,3.0
821,99.0
6244,93.0
6526,10.0
5700,0.0
5229,0.0
6762,92.0
6871,96.0
1710,0.0
1986,0.0
5373,94.0
8508,0.0
6525,16.0
1037,10.0
6999,10.0
7043,0.0
5926,4.0
8212,0.0
2678,95.0
10430,0.0
5969,0.0
3814,0.0
7053,0.0
5221,0.0
10475,2.0
2448,0.0
10473,99.0
1774,0.0
3132,4.0
7865,12.0
9965,6.0
2571,96.0
3925,0.0
1086,0.0
9117,0.0
2097,0.0
8577,4.0
791,4.0
496,4.0
6303,6.0
1957,7.0
229,10.0
1462,100.0
6768,0.0
8116,96.0
3943,0.0
9740,0.0
1003,96.0
9644,4.0
9908,0.0
10690,0.0
2999,0.0
10585,0.0
6823,95.0
8226,95.0
7154,99.0
1362,97.0
8490,0.0
7191,3.0
10649,0.0
7475,4.0
4348,0.0
10850,8.0
440,94.0
6381,24.0
10136,6.0
8468,4.0
944,0.0
2549,4.0
472,1.0
4771,96.0
2783,98.0
7223,0.0
4393,98.0
10170,0.0
8387,0.0
2530,10.0
6804,100.0
633,7.0
4344,0.0
5342,2.0
1755,99.0
756,97.0
5433,97.0
4598,97.0
2952,98.0
1661,0.0
5183,6.0
4368,0.0
743,4.0
6425,91.0
1815,0.0
6403,0.0
10392,94.0
5097,5.0
1044,95.0
9390,0.0
6005,0.0
8558,100.0
5889,16.0
1888,0.0
7439,0.0
1063,94.0
9327,100.0
6837,95.0
4447,0.0
4133,0.0
1112,97.0
2443,0.0
2480,94.0
2515,12.0
3728,93.0
5933,6.0
9691,0.0
8958,0.0
6468,14.0
7636,0.0
5456,96.0
4763,98.0
2991,0.0
2501,96.0
979,0.0
420,95.0
156,0.0
5805,6.0
7667,0.0
10188,0.0
1127,10.0
3975,98.0
6191,97.0
5845,16.0
3350,93.0
2237,12.0
9254,95.0
407,0.0
7919,0.0
321,95.0
9848,0.0
7783,6.0
4087,4.0
6105,0.0
1538,95.0
5363,97.0
10637,0.0
6313,97.0
6413,0.0
5590,0.0
5634,98.0
9085,97.0
5422,12.0
2551,12.0
1914,0.0
10097,8.0
10328,0.0
2278,2.0
5688,0.0
2137,0.0
6597,93.0
1547,0.0
2770,99.0
10395,94.0
10268,0.0
6284,6.0
4832,0.0
6912,94.0
7310,0.0
7182,6.0
10763,2.0
4627,8.0
5415,97.0
8771,5.0
9219,98.0
4422,6.0
3066,10.0
4645,0.0
1675,0.0
6925,12.0
1833,1.0
6078,3.0
10604,4.0
7884,96.0
283,99.0
1013,24.0
10414,0.0
1388,99.0
274,100.0
4578,0.0
4041,96.0
4462,8.0
484,0.0
6938,95.0
6389,95.0
162,0.0
10228,8.0
4030,8.0
9214,97.0
7646,15.0
1796,0.0
9662,4.0
8975,0.0
7262,5.0
8522,16.0
6249,94.0
1034,0.0
5875,94.0
7838,92.0
3753,0.0
2664,6.0
9543,8.0
8951,0.0
7139,88.0
1457,16.0
2265,0.0
1525,98.0
1837,4.0
8359,96.0
8034,0.0
5579,8.0
3086,98.0
2126,14.0
5689,0.0
1364,2.0
1691,0.0
1336,8.0
4398,4.0
8293,95.0
9853,0.0
9863,0.0
2423,95.0
6909,4.0
2161,0.0
2909,95.0
10798,14.0
6667,0.0
6377,2.0
8607,11.0
2178,97.0
8370,98.0
5404,0.0
6782,8.0
8026,0.0
20,6.0
3752,95.0
9458,13.0
8435,0.0
10912,0.0
3810,4.0
2735,0.0
9480,99.0
10631,0.0
7859,12.0
9453,97.0
4589,8.0
8172,95.0
2104,6.0
5924,8.0
4818,0.0
6853,6.0
2856,94.0
621,94.0
2915,9.0
9611,0.0
5601,100.0
9684,99.0
4563,90.0
7969,0.0
9454,96.0
5083,97.0
4826,0.0
5438,99.0
5783,14.0
7801,0.0
9362,0.0
10666,0.0
8375,4.0
3972,6.0
7313,0.0
9498,100.0
7150,0.0
7991,94.0
10877,4.0
10525,0.0
6981,97.0
8368,96.0
8376,10.0
6436,4.0
9099,100.0
8582,0.0
7896,94.0
2577,24.0
8862,7.0
5740,0.0
9199,91.0
9620,14.0
9639,4.0
4583,0.0
808,4.0
4604,12.0
844,18.0
1303,96.0
733,8.0
4490,12.0
