,score_sum
1216,4.0
729,0.0
9029,10.0
8451,99.0
380,0.0
86,10.0
5135,98.0
10657,0.0
343,98.0
9125,96.0
4064,99.0
1749,98.0
2245,9.0
4255,0.0
9715,93.0
3700,6.0
10013,15.0
10088,0.0
7309,0.0
385,0.0
2193,99.0
7764,4.0
6165,94.0
6765,8.0
7587,3.0
8525,4.0
3440,0.0
6318,4.0
2624,91.0
3682,100.0
4135,0.0
2224,10.0
1454,0.0
5070,94.0
2819,95.0
3074,99.0
4352,0.0
8270,95.0
5993,0.0
4692,95.0
8714,0.0
4478,98.0
5035,6.0
9021,10.0
3874,88.0
8592,5.0
7680,0.0
3901,98.0
5745,10.0
2056,14.0
5626,0.0
2357,0.0
10584,7.0
6046,91.0
8399,0.0
2768,10.0
9994,0.0
3582,8.0
4149,0.0
7069,1.0
8426,0.0
7477,4.0
2670,96.0
2820,99.0
4203,0.0
7507,0.0
3208,0.0
5973,8.0
3890,10.0
6085,97.0
2076,2.0
8380,12.0
1792,0.0
6905,0.0
8066,4.0
7351,6.0
6677,95.0
10473,99.0
2476,88.0
8411,98.0
9002,100.0
1425,16.0
9814,94.0
7314,0.0
2447,0.0
9183,10.0
6970,87.0
7061,0.0
636,93.0
2761,96.0
2829,2.0
4848,0.0
1423,24.0
9678,100.0
8959,0.0
9924,4.0
8400,95.0
10688,0.0
490,12.0
9663,8.0
5889,16.0
2272,95.0
8519,4.0
264,0.0
5454,97.0
9655,0.0
4002,98.0
2787,94.0
772,89.0
2003,98.0
9478,98.0
7355,99.0
9396,0.0
9241,90.0
4698,95.0
9075,95.0
8589,6.0
8137,0.0
9879,0.0
9788,0.0
3000,0.0
7128,94.0
2432,97.0
5475,0.0
4154,0.0
6324,98.0
7536,0.0
9459,0.0
7003,99.0
1428,12.0
5953,4.0
6718,98.0
9398,99.0
457,8.0
3481,91.0
1921,10.0
10075,97.0
7746,0.0
10955,6.0
5812,95.0
8281,99.0
10892,12.0
8947,0.0
3581,6.0
4106,7.0
9383,0.0
2251,93.0
4529,38.0
7277,0.0
5543,2.0
6917,0.0
3345,92.0
7348,6.0
5014,93.0
10338,0.0
6317,96.0
1248,0.0
1645,94.0
1211,5.0
9852,0.0
4750,82.0
7086,3.0
1354,0.0
4297,2.0
3460,95.0
2732,95.0
4351,0.0
8213,28.0
9263,99.0
7592,6.0
5843,96.0
8127,94.0
9634,99.0
5654,6.0
3091,4.0
2702,8.0
9513,0.0
3084,21.0
2614,0.0
3421,0.0
509,0.0
7490,0.0
2037,0.0
49,4.0
4882,99.0
8878,96.0
9277,2.0
9253,95.0
2891,93.0
10760,6.0
8924,16.0
9876,0.0
2186,2.0
7959,8.0
6296,6.0
238,6.0
180,0.0
4092,8.0
7391,100.0
38,94.0
7085,98.0
2135,0.0
2755,12.0
2579,0.0
65,0.0
6084,99.0
1667,0.0
314,98.0
4689,2.0
10694,0.0
3040,98.0
5298,0.0
1798,0.0
10658,0.0
1537,5.0
6460,96.0
4305,0.0
4251,0.0
8228,100.0
3312,0.0
10393,0.0
5179,12.0
8781,0.0
5976,0.0
4609,97.0
423,96.0
5323,0.0
9504,97.0
5462,0.0
668,0.0
6924,6.0
761,4.0
7095,2.0
2030,4.0
5031,97.0
5693,0.0
4758,32.0
10051,4.0
8973,0.0
510,4.0
4146,0.0
6262,99.0
8202,8.0
6395,0.0
9614,98.0
4411,2.0
1359,14.0
896,8.0
7550,97.0
9479,90.0
7282,0.0
3539,8.0
10284,98.0
8050,0.0
8102,95.0
10191,0.0
3674,98.0
8181,89.0
9873,0.0
10546,0.0
3271,98.0
1820,4.0
9184,4.0
8526,6.0
10094,12.0
8840,98.0
9067,97.0
6309,97.0
5497,8.0
3278,2.0
10389,8.0
7858,100.0
9349,0.0
1125,89.0
10063,97.0
9610,98.0
9657,4.0
10396,97.0
879,97.0
8491,0.0
1124,92.0
1375,98.0
4850,99.0
6681,3.0
8481,0.0
10606,0.0
2358,0.0
1470,4.0
5586,6.0
1945,8.0
7031,0.0
8104,10.0
144,0.0
4077,2.0
7584,2.0
2653,4.0
6840,95.0
3849,97.0
1283,100.0
1196,0.0
7066,0.0
6240,4.0
1286,0.0
6231,12.0
7401,3.0
381,0.0
8497,10.0
6866,99.0
6672,95.0
4992,0.0
8856,91.0
10879,4.0
3595,92.0
2435,96.0
1805,8.0
9936,0.0
9797,98.0
8100,99.0
739,6.0
175,97.0
9240,95.0
9957,0.0
5123,95.0
8469,92.0
7312,0.0
1825,98.0
4824,0.0
398,0.0
4171,98.0
2269,0.0
2827,85.0
9278,0.0
9033,94.0
5227,0.0
6132,93.0
9017,8.0
5256,0.0
2202,92.0
7225,0.0
1832,4.0
6964,3.0
8601,0.0
1282,12.0
8354,96.0
8921,95.0
7091,98.0
2818,96.0
6720,10.0
5125,90.0
4646,0.0
6054,4.0
8879,98.0
6586,100.0
5458,93.0
1258,0.0
7546,7.0
3815,96.0
5359,0.0
3224,2.0
3642,99.0
7640,0.0
6112,2.0
5096,95.0
2338,100.0
6409,0.0
5808,98.0
10404,0.0
3755,0.0
7664,2.0
4735,96.0
1167,100.0
4449,97.0
9785,94.0
10533,0.0
5119,7.0
9057,0.0
2760,2.0
10738,2.0
313,99.0
6572,0.0
9584,97.0
3888,8.0
5367,97.0
7716,0.0
628,2.0
2190,10.0
3173,4.0
7491,0.0
7302,0.0
4414,2.0
832,91.0
305,98.0
2396,0.0
8962,0.0
9081,3.0
5460,0.0
282,97.0
7196,5.0
8385,96.0
5848,0.0
5425,17.0
3973,91.0
10474,98.0
4341,4.0
9703,95.0
2280,90.0
7728,4.0
10277,97.0
1333,6.0
5046,95.0
9462,100.0
4726,0.0
5149,18.0
1457,16.0
10685,99.0
2618,0.0
255,0.0
